"","Site","Year","Max.temp"
"515","Funny",2002,11.0779136693636
"516","Hidden",2002,14.4497210824593
"517","Kenai R at Cooper Landing",2002,9.8057350608382
"518","Kenai R at Skilak",2002,12.2692214511821
"519","Kenai R at Soldotna",2002,12.0923851581126
"520","Little Willow",2002,15.3818195131821
"521","Montana",2002,15.1498548962785
"522","Moose",2002,14.1614672344891
"523","NF Campbell",2002,13.375227764582
"524","Ninilchik",2002,13.5394508916882
"525","Quartz",2002,8.7885531393073
"526","Slikok",2002,11.4808267136926
"527","Soldotna",2002,13.140688547583
"528","Theodore",2002,15.5127126095468
"529","Willow",2002,14.6219061757977
"530","Alexander",2003,21.254836270812
"531","Anchor",2003,15.5985187776077
"532","Beaver",2003,14.4056273128359
"533","Chuitna",2003,18.7731159727933
"534","Crooked",2003,13.6117945162872
"535","Deep",2003,16.2675631050366
"536","Deshka",2003,21.8180469700604
"537","EF Chulitna",2003,11.7062712123388
"538","Funny",2003,12.3603473675952
"539","Hidden",2003,15.5588887164772
"540","Kenai R at Cooper Landing",2003,10.7166603679063
"541","Kenai R at Skilak",2003,13.4116061580534
"542","Kenai R at Soldotna",2003,13.0994102947867
"543","Little Willow",2003,16.1725334296313
"544","Montana",2003,15.8861316964262
"545","Moose",2003,15.7365179861866
"546","NF Campbell",2003,14.7010434823525
"547","Ninilchik",2003,15.4917681232847
"548","Quartz",2003,9.48545179079202
"549","Slikok",2003,12.6296423701869
"550","Soldotna",2003,14.4830216821583
"551","Theodore",2003,16.2687104390355
"552","Willow",2003,15.3213623722077
"553","Alexander",2004,20.2036535860666
"554","Anchor",2004,15.9562860689494
"555","Beaver",2004,15.0148786234427
"556","Chuitna",2004,17.7961508499848
"557","Crooked",2004,14.22963946529
"558","Deep",2004,16.6762117190822
"559","Deshka",2004,20.7266274093815
"560","EF Chulitna",2004,11.0973645301819
"561","Funny",2004,12.9546459106781
"562","Hidden",2004,16.0728932298026
"563","Kenai R at Cooper Landing",2004,11.1387964858159
"564","Kenai R at Skilak",2004,13.9410039490426
"565","Kenai R at Soldotna",2004,13.5660804800748
"566","Little Willow",2004,15.3818195131821
"567","Montana",2004,15.1498548962785
"568","Moose",2004,16.4664195540464
"569","NF Campbell",2004,14.485213016669
"570","Ninilchik",2004,15.8503570025575
"571","Quartz",2004,9.80840482440689
"572","Slikok",2004,13.1620203573428
"573","Soldotna",2004,15.10507850062
"574","Theodore",2004,15.5127126095468
"575","Willow",2004,14.6219061757977
"576","Alexander",2005,18.8799420571281
"577","Anchor",2005,14.9624880374446
"578","Beaver",2005,14.0208370114
"579","Chuitna",2005,16.5658984731149
"580","Crooked",2005,13.2215766537591
"581","Deep",2005,15.5410766800666
"582","Deshka",2005,19.3522472218598
"583","EF Chulitna",2005,10.3305931526509
"584","Funny",2005,11.9850009193323
"585","Hidden",2005,15.2342542870086
"586","Kenai R at Cooper Landing",2005,10.4500480829108
"587","Kenai R at Skilak",2005,13.0772496584813
"588","Kenai R at Soldotna",2005,12.8046712303943
"589","Little Willow",2005,14.3861056924683
"590","Montana",2005,14.2226915183148
"591","Moose",2005,15.2755275222751
"592","NF Campbell",2005,13.9610533142946
"593","Ninilchik",2005,14.8542767823552
"594","Quartz",2005,9.2814814537721
"595","Slikok",2005,12.2934036414569
"596","Soldotna",2005,14.0901436915509
"597","Theodore",2005,14.5607153427831
"598","Willow",2005,13.7411094840223
"599","Alexander",2006,16.8554420716927
"600","Anchor",2006,12.9351400531747
"601","Beaver",2006,13.8925735775881
"602","Chuitna",2006,14.6843360143726
"603","Crooked",2006,13.0915040329164
"604","Deep",2006,13.2254012004747
"605","Deshka",2006,17.2502539938856
"606","EF Chulitna",2006,9.15788398701543
"607","Funny",2006,11.859885436578
"608","Hidden",2006,15.126042810519
"609","Kenai R at Cooper Landing",2006,10.3611773212456
"610","Kenai R at Skilak",2006,12.9657974919573
"611","Kenai R at Soldotna",2006,12.7064248755968
"612","Little Willow",2006,12.8632492607884
"613","Montana",2006,12.8046769402525
"614","Moose",2006,15.1218640343047
"615","NF Campbell",2006,12.5735717491859
"616","Ninilchik",2006,12.8222731331425
"617","Quartz",2006,9.21349134143213
"618","Slikok",2006,12.1813240652135
"619","Soldotna",2006,13.9591843613484
"620","Theodore",2006,13.1047195230269
"621","Willow",2006,12.3940086613068
"622","Alexander",2007,17.6730286042724
"623","Anchor",2007,13.4916669508174
"624","Beaver",2007,13.6360467099642
"625","Chuitna",2007,15.444197776557
"626","Crooked",2007,12.831358791231
"627","Deep",2007,13.8610768223234
"628","Deshka",2007,18.0991358744137
"629","EF Chulitna",2007,9.63147807313747
"630","Funny",2007,11.6096544710693
"631","Hidden",2007,14.9096198575399
"632","Kenai R at Cooper Landing",2007,10.1834357979152
"633","Kenai R at Skilak",2007,12.7428931589092
"634","Kenai R at Soldotna",2007,12.5099321660019
"635","Little Willow",2007,13.4782489735822
"636","Montana",2007,13.3773366737007
"637","Moose",2007,14.8145370583637
"638","NF Campbell",2007,12.4194071308405
"639","Ninilchik",2007,13.3800780564558
"640","Quartz",2007,9.07751111675218
"641","Slikok",2007,11.9571649127268
"642","Soldotna",2007,13.6972657009435
"643","Theodore",2007,13.6927178348515
"644","Willow",2007,12.9380301474035
"645","Alexander",2008,15.9989228470854
"646","Anchor",2008,12.5773727618329
"647","Beaver",2008,13.2191905500753
"648","Chuitna",2008,13.8882903587508
"649","Crooked",2008,12.4086227734923
"650","Deep",2008,12.8167525864291
"651","Deshka",2008,16.3609491666657
"652","EF Chulitna",2008,8.66173780155425
"653","Funny",2008,11.2030291521179
"654","Hidden",2008,14.5579325589489
"655","Kenai R at Cooper Landing",2008,9.89460582250338
"656","Kenai R at Skilak",2008,12.3806736177062
"657","Kenai R at Soldotna",2008,12.19063151291
"658","Little Willow",2008,12.2189638473854
"659","Montana",2008,12.2047476956877
"660","Moose",2008,14.3151307224596
"661","NF Campbell",2008,11.4019206497608
"662","Ninilchik",2008,12.4636842538697
"663","Quartz",2008,8.85654325164727
"664","Slikok",2008,11.592906289936
"665","Soldotna",2008,13.2716478777855
"666","Theodore",2008,12.4887212915916
"667","Willow",2008,11.824081390158
"668","Alexander",2009,20.0868555099838
"669","Anchor",2009,13.4916669508174
"670","Beaver",2009,13.7001784268701
"671","Chuitna",2009,17.6875991696728
"672","Crooked",2009,12.8963951016524
"673","Deep",2009,13.8610768223234
"674","Deshka",2009,20.605358569306
"675","EF Chulitna",2009,11.0297082321644
"676","Funny",2009,11.6722122124465
"677","Hidden",2009,14.9637255957847
"678","Kenai R at Cooper Landing",2009,10.2278711787478
"679","Kenai R at Skilak",2009,12.7986192421713
"680","Kenai R at Soldotna",2009,12.5590553434006
"681","Little Willow",2009,15.2939624113544
"682","Montana",2009,15.0680463629288
"683","Moose",2009,14.8913688023489
"684","NF Campbell",2009,12.8510680622076
"685","Ninilchik",2009,13.3800780564558
"686","Quartz",2009,9.11150617292217
"687","Slikok",2009,12.0132047008485
"688","Soldotna",2009,13.7627453660447
"689","Theodore",2009,15.4287128507147
"690","Willow",2009,14.5441888206411
"691","Alexander",2010,17.2058362999411
"692","Anchor",2010,12.8953881319145
