Population,BroodYear,EscapeIndex,EscapementMethod,WeirRemovals,Spawners1,Spawners2.min,Spawners2.nom,Spawners2.max,Recruits1,Recruits2.min,Recruits2.nom,Recruits2.max,NumAgeClasses,CoreRecruits1,CoreRecruits2.min,CoreRecruits2.nom,CoreRecruits2.max,NumCoreAgeClasses,RecruitsPerSpawner,CoreRecruitsPerSpawner
Deep,2011,696,Single aerial survey,NA,696,1160,1547,2320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deep,2012,447,Single aerial survey,NA,447,745,993,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deep,2013,475,Single aerial survey,NA,475,792,1056,1583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deep,2014,601,Single aerial survey,NA,601,1002,1336,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deep,2015,535,Single aerial survey,NA,535,892,1189,1783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshka,1980,NA,NA,NA,NA,NA,NA,NA,32257,39301,39301,39301,5,32257,39301,39301,39301,3,NA,NA
Deshka,1981,NA,NA,NA,NA,NA,NA,NA,39950,48807,48807,48807,5,39074,47728,47728,47728,3,NA,NA
Deshka,1982,37222,Expansion of aerial surveys based on weir count : aerial survey regression,NA,37222,37222,37222,37222,NA,NA,NA,NA,NA,61662,75863,75863,75863,3,NA,2.038122615657407
Deshka,1983,43871,Expansion of aerial surveys based on weir count : aerial survey regression,NA,43871,43871,43871,43871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshka,1984,39054,Expansion of aerial surveys based on weir count : aerial survey regression,NA,39054,39054,39054,39054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshka,1985,41640,Expansion of aerial surveys based on weir count : aerial survey regression,NA,41640,41640,41640,41640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshka,1986,47657,Expansion of aerial surveys based on weir count : aerial survey regression,NA,47657,47657,47657,47657,NA,NA,NA,NA,NA,21589,32989,32989,32989,3,NA,0.6922173028096607
Deshka,1987,35226,Expansion of aerial surveys based on weir count : aerial survey regression,NA,35226,35226,35226,35226,16230,27228,27228,27228,5,15834,26737,26737,26737,3,0.7729517969681485,0.7590132288650429
Deshka,1988,43795,Expansion of aerial surveys based on weir count : aerial survey regression,NA,43795,43795,43795,43795,15773,24086,24086,24086,5,15592,23823,23823,23823,3,0.5499714579289873,0.543966206187921
Deshka,1989,NA,NA,NA,NA,NA,NA,NA,12910,17202,17202,17202,5,10660,13606,13606,13606,3,NA,NA
Deshka,1990,41671,Expansion of aerial surveys based on weir count : aerial survey regression,NA,41671,41671,41671,41671,7100,7298,7298,7298,5,7100,7298,7298,7298,3,0.17513378608624702,0.17513378608624702
Deshka,1991,21020,Expansion of aerial surveys based on weir count : aerial survey regression,NA,21020,21020,21020,21020,15230,15267,15267,15267,5,14957,14968,14968,14968,3,0.7263082778306374,0.7120837297811607
Deshka,1992,20248,Expansion of aerial surveys based on weir count : aerial survey regression,NA,20248,20248,20248,20248,44149,45479,45479,45479,5,44021,45343,45343,45343,3,2.2460983800869223,2.239381667325168
Deshka,1993,16207,Expansion of aerial surveys based on weir count : aerial survey regression,NA,16207,16207,16207,16207,28595,30901,30901,30901,5,28552,30858,30858,30858,3,1.9066452767322761,1.9039921021780712
Deshka,1994,9832,Expansion of aerial surveys based on weir count : aerial survey regression,NA,9832,9832,9832,9832,23355,26264,26264,26264,5,23284,26193,26193,26193,3,2.6712774613506918,2.6640561432058583
Deshka,1995,10048,Weir count minus sport harvest above weir,NA,10048,10048,10048,10048,43331,51355,51355,51355,5,43331,51355,51355,51355,3,5.110967356687898,5.110967356687898
Deshka,1996,14349,Weir count minus sport harvest above weir,NA,14349,14349,14349,14349,21006,24780,24780,24780,5,21006,24780,24780,24780,3,1.7269496132134643,1.7269496132134643
Deshka,1997,35587,Weir count minus sport harvest above weir,NA,35587,35587,35587,35587,28570,33287,33287,33287,5,28570,33287,33287,33287,3,0.9353696574591845,0.9353696574591845
Deshka,1998,36310,Expansion of aerial surveys based on weir count : aerial survey regression,NA,36310,36310,36310,36310,35317,41118,41118,41118,5,34898,40623,40623,40623,3,1.1324153125860645,1.1187827044891214
Deshka,1999,29088,Weir count minus sport harvest above weir,NA,29088,29088,29088,29088,56606,65946,65946,65946,5,56149,65418,65418,65418,3,2.2671204620462047,2.2489686468646863
Deshka,2e3,33965,Weir count minus sport harvest above weir,NA,33965,33965,33965,33965,38374,46032,46032,46032,5,37980,45572,45572,45572,3,1.355277491535404,1.341734138083321
Deshka,2001,27966,Weir count minus sport harvest above weir,NA,27966,27966,27966,27966,31020,38607,38607,38607,5,30511,38015,38015,38015,3,1.3804977472645354,1.3593291854394622
Deshka,2002,28535,Weir count minus sport harvest above weir,NA,28535,28535,28535,28535,23163,30018,30018,30018,5,22726,29493,29493,29493,3,1.051971263360785,1.0335728053267916
Deshka,2003,39257,Weir count minus sport harvest above weir,NA,39257,39257,39257,39257,5566,6969,6969,6969,5,5566,6969,6969,6969,3,0.17752248006724916,0.17752248006724916
Deshka,2004,56659,Weir count minus sport harvest above weir,NA,56659,56659,56659,56659,5517,6301,6301,6301,5,5517,6301,6301,6301,3,0.11120916359272137,0.11120916359272137
Deshka,2005,36433,Weir count minus sport harvest above weir,NA,36433,36433,36433,36433,21752,24807,24807,24807,5,21752,24807,24807,24807,3,0.6808936952762605,0.6808936952762605
Deshka,2006,29922,Weir count minus sport harvest above weir,NA,29922,29922,29922,29922,17805,20772,20772,20772,5,17805,20772,20772,20772,3,0.6942049328253459,0.6942049328253459
Deshka,2007,17594,Weir count minus sport harvest above weir,NA,17594,17594,17594,17594,11756,13231,13231,13231,5,11592,13036,13036,13036,3,0.7520177333181767,0.7409344094577697
Deshka,2008,7284,Weir count minus sport harvest above weir,NA,7284,7284,7284,7284,20695,22462,22462,22462,5,20268,21963,21963,21963,3,3.0837451949478307,3.0152388797364087
Deshka,2009,11641,Weir count minus sport harvest above weir,NA,11641,11641,11641,11641,NA,NA,NA,NA,NA,13342,14348,14348,14348,3,NA,1.2325401597800876
Deshka,2010,18223,Weir count minus sport harvest above weir,NA,18223,18223,18223,18223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshka,2011,18553,Weir count minus sport harvest above weir,NA,18553,18553,18553,18553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshka,2012,13952,Weir count minus sport harvest above weir,NA,13952,13952,13952,13952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshka,2013,18378,Weir count minus sport harvest above weir,NA,18378,18378,18378,18378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshka,2014,16099,Weir count minus sport harvest above weir,NA,16099,16099,16099,16099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshka,2015,23627,Weir count minus sport harvest above weir,NA,23627,23627,23627,23627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenai.Late,1986,52868,Sonar count minus sport harvest above sonar,NA,52868,52868,52868,52868,35589,35589,35589,35589,5,33524,33524,33524,33524,3,0.6731671332374972,0.6341075887115079
Kenai.Late,1987,50450,Sonar count minus sport harvest above sonar,NA,50450,50450,50450,50450,33930,33930,33930,33930,5,32867,32867,32867,32867,3,0.6725470763131813,0.6514767096134787
Kenai.Late,1988,42065,Sonar count minus sport harvest above sonar,NA,42065,42065,42065,42065,32521,32521,32521,32521,5,29726,29726,29726,29726,3,0.7731130393438725,0.7066682515155117
Kenai.Late,1989,26679,Sonar count minus sport harvest above sonar,NA,26679,26679,26679,26679,24115,24115,24115,24115,5,23510,23510,23510,23510,3,0.903894448817422,0.8812174369354173
Kenai.Late,1990,27303,Sonar count minus sport harvest above sonar,NA,27303,27303,27303,27303,26307,26307,26307,26307,5,25625,25625,25625,25625,3,0.9635204922535985,0.9385415522103798
